step,val_loss
250,3.0134
500,2.8273
750,2.7491
1000,2.7233
1250,2.6712
1500,2.6425
1750,2.6102
2000,2.6102
2250,2.5795
2500,2.5666
2750,2.5551
3000,2.5356
3250,2.5478
3500,2.5263
3750,2.5279
4000,2.5156
4250,2.5198
4500,2.4977
4750,2.5042
5000,2.5069
5250,2.5033
5500,2.4857
5750,2.4758
6000,2.4831
6250,2.4745
6500,2.4721
6750,2.4662
7000,2.4592
7250,2.4662
7500,2.4690
7750,2.4825
8000,2.4686
8250,2.4778
8500,2.4881
8750,2.4886
9000,2.4779
9250,2.4815
9500,2.4963
9750,2.4735
10000,2.4563
10250,2.4439
10500,2.4667
10750,2.4573
11000,2.4526
11025,2.4370
