step,val_loss
250,3.0205
500,2.8477
750,2.7806
1000,2.7394
1250,2.6967
1500,2.6607
1750,2.6497
2000,2.6458
2250,2.6077
2500,2.6118
2750,2.5932
3000,2.5720
3250,2.5815
3500,2.5615
3750,2.5706
4000,2.5717
4250,2.5530
4500,2.5554
4750,2.5426
5000,2.5563
5250,2.5424
5500,2.5379
5750,2.5342
6000,2.5381
6250,2.5187
6500,2.5218
6750,2.5216
7000,2.5064
7250,2.5209
7500,2.5201
7750,2.5416
8000,2.5470
8250,2.5474
8500,2.5470
8750,2.5508
9000,2.5322
9250,2.5348
9500,2.5405
9750,2.5331
10000,2.5252
10250,2.5025
10500,2.5231
10750,2.5246
11000,2.5107
11025,2.4959
