step,val_loss
249,6.9416
499,6.3707
749,6.1207
999,5.9071
1249,5.8078
1499,5.7190
1749,5.7008
1999,5.6343
2249,5.6686
2499,5.6405
2749,5.7174
2999,5.7207
3249,5.8197
3499,5.8676
3749,5.9596
3999,6.0625
4249,6.0932
4499,6.3152
4749,6.3386
4999,6.5959
5249,6.6559
5499,6.8947
5749,6.9908
5999,7.2258
6249,7.3358
6499,7.5476
6749,7.6704
6999,7.8646
7249,7.9928
7499,8.1607
7749,8.3059
7999,8.4374
8249,8.5825
8499,8.6896
8749,8.8377
8999,8.9341
9249,9.0846
9499,9.1673
9749,9.3076
9999,9.3846
10249,9.5113
10499,9.5907
10749,9.6921
10999,9.7725
11249,9.8604
11499,9.9313
11749,9.9960
11999,10.0634
12249,10.1190
12499,10.1728
12749,10.2151
12999,10.2751
13249,10.3070
13274,10.3147
