step,val_loss,bits_per_byte
5000,4.5860,1.342
10000,4.0480,1.185
15000,3.8721,1.133
20000,3.8103,1.115
25000,3.6899,1.080
30000,3.6640,1.073
35000,3.6132,1.058
40000,3.5972,1.053
45000,3.5816,1.048
50000,3.5549,1.041
55000,3.5196,1.030
60000,3.5308,1.034
65000,3.4904,1.022
70000,3.4849,1.020
75000,3.4751,1.017
80000,3.4592,1.013
85000,3.4361,1.006
90000,3.4387,1.007
95000,3.4506,1.010
100000,3.4404,1.007
105000,3.4436,1.008
110000,3.4426,1.008
115000,3.4046,0.997
120000,3.4186,1.001
125000,3.4165,1.000
130000,3.4023,0.996
135000,3.3864,0.991
140000,3.3796,0.989
145000,3.3839,0.991
150000,3.3680,0.986
155000,3.3656,0.985
160000,3.3706,0.987
165000,3.3442,0.979
170000,3.3641,0.985
175000,3.3667,0.986
180000,3.3530,0.982
185000,3.3470,0.980
190000,3.3363,0.977
195000,3.3086,0.969
200000,3.3350,0.976
205000,3.3331,0.976
210000,3.3086,0.969
215000,3.3167,0.971
220000,3.3118,0.969
225000,3.3124,0.970
230000,3.2976,0.965
235000,3.2907,0.963
240000,3.2995,0.966
245000,3.2908,0.963
250000,3.2758,0.959
265000,3.2617,0.954
270000,3.2695,0.957
275000,3.2467,0.950
280000,3.2459,0.950
285000,3.2580,0.954
290000,3.2239,0.944
295000,3.2397,0.948
300000,3.2173,0.942
305000,3.2222,0.943
310000,3.2112,0.940
315000,3.2136,0.941
320000,3.1981,0.936
325000,3.2056,0.938
330000,3.1933,0.935
335000,3.1820,0.931
340000,3.1821,0.931
345000,3.1607,0.925
350000,3.1605,0.925
355000,3.1589,0.925
360000,3.1652,0.927
365000,3.1609,0.925
370000,3.1495,0.922
375000,3.1544,0.923
380000,3.1237,0.914
385000,3.1314,0.917
390000,3.1219,0.914
395000,3.0982,0.907
400000,3.1041,0.909
405000,3.0900,0.905
410000,3.0926,0.905
415000,3.0816,0.902
420000,3.0827,0.902
425000,3.0745,0.900
430000,3.0575,0.895
435000,3.0678,0.898
440000,3.0689,0.898
445000,3.0487,0.892
450000,3.0502,0.893
455000,3.0393,0.890
460000,3.0094,0.881
465000,3.0246,0.885
470000,3.0111,0.881
475000,2.9966,0.877
480000,2.9981,0.878
485000,2.9793,0.872
490000,2.9801,0.872
495000,2.9687,0.869
500000,2.9606,0.867
505000,2.9712,0.870
510000,2.9574,0.866
515000,2.9433,0.862
520000,2.9285,0.857
525000,2.9214,0.855
530000,2.9187,0.854
535000,2.9228,0.856
540000,2.8881,0.845
545000,2.8921,0.847
550000,2.8687,0.840
555000,2.8733,0.841
560000,2.8617,0.838
565000,2.8546,0.836
570000,2.8497,0.834
575000,2.8421,0.832
580000,2.8343,0.830
585000,2.8280,0.828
590000,2.8180,0.825
595000,2.8142,0.824
600000,2.7962,0.819
605000,2.8045,0.821
610000,2.7937,0.818
615000,2.7837,0.815
620000,2.7732,0.812
625000,2.7750,0.812
630000,2.7747,0.812
635000,2.7708,0.811
640000,2.7574,0.807
645000,2.7474,0.804
650000,2.7344,0.800
655000,2.7438,0.803
660000,2.7284,0.799
665000,2.7356,0.801
670000,2.7288,0.799
675000,2.7429,0.803
680000,2.7445,0.803
685000,2.7222,0.797
690000,2.7229,0.797
695000,2.7325,0.800
700000,2.7234,0.797
