step,val_loss,bits_per_byte
250,4.3031,0.934
500,4.2380,0.920
750,4.2099,0.914
1000,4.1909,0.910
1250,4.1782,0.907
1500,4.1641,0.904
1750,4.1512,0.901
2000,4.1422,0.899
2250,4.1352,0.898
2500,4.1285,0.896
2750,4.1280,0.896
3000,4.1248,0.896
3250,4.1163,0.894
3500,4.1133,0.893
3750,4.1033,0.891
4000,4.0965,0.889
4250,4.0916,0.888
4500,4.0842,0.887
4750,4.0815,0.886
5000,4.0719,0.884
5250,4.0816,0.886
5500,4.0817,0.886
5750,4.0748,0.885
6000,4.0733,0.884
6250,4.0698,0.884
6500,4.0656,0.883
6750,4.0606,0.882
7000,4.0599,0.881
7250,4.0540,0.880
7500,4.0501,0.879
7750,4.0590,0.881
8000,4.0603,0.881
8250,4.0574,0.881
8500,4.0549,0.880
8750,4.0570,0.881
9000,4.0540,0.880
9250,4.0525,0.880
9500,4.0526,0.880
9750,4.0508,0.879
10000,4.0505,0.879
